"DATE_TIME","AIRTEMP","RH_AVG","DEWPT","WS","GHI","DNI","DIFF","POA"
"2023-07-28 15:00:00",33.6,50.18,21.82,1.138,624.8,393.7,293.1,969
"2023-07-28 15:10:00",33.81,49.71,21.84,0.535,909.7,704.2,327.4,292.1
"2023-07-28 15:20:00",34.25,49,22.02,0.917,945,821.8,279.3,998
"2023-07-28 15:30:00",34.21,48.78,21.9,0.578,351.9,149.3,233.7,232.8
"2023-07-28 15:40:00",34.2,49.2,22.04,0.655,873.7,806.7,250,949
"2023-07-28 15:50:00",34.15,48.16,21.66,0.811,801.1,801.2,197.7,895
"2023-07-28 16:00:00",34.31,48.46,21.89,0.813,775,803.4,186.9,870
"2023-07-28 16:10:00",34.53,47.48,21.75,0.575,743.9,793.2,180.9,847
"2023-07-28 16:20:00",34.87,46.65,21.77,1.049,831.8,789,289.9,824
"2023-07-28 16:30:00",34.01,46.75,21.04,0.916,825.2,782.2,306.6,789.5
"2023-07-28 16:40:00",33.78,47.49,21.08,1.098,648.8,767.5,159.1,761.7
"2023-07-28 16:50:00",33.67,48.09,21.18,1.108,621.7,760.3,156,734.3
"2023-07-28 17:00:00",33.56,48.67,21.28,0.761,584.9,741.7,150.2,694.8
"2023-07-28 17:10:00",33.89,48.08,21.38,0.905,555.7,740.6,141.7,669.6
"2023-07-28 17:20:00",33.79,44.89,20.16,1.01,521.5,733.3,131.9,633.5
"2023-07-28 17:30:00",33.38,44.35,19.61,1.209,483.1,716.5,122.8,595.6
"2023-07-28 17:40:00",33.42,44.72,19.78,0.808,446.2,698.8,115,556.8
"2023-07-28 17:50:00",33.23,45.68,19.95,1.392,514.8,673.8,215.3,514.1
"2023-07-28 18:00:00",33.33,46.05,20.17,0.684,400.5,645.2,132.9,472.3
"2023-07-28 18:10:00",33.27,46.95,20.44,0.774,333.4,620,95,432.8
"2023-07-28 18:20:00",33.52,47.32,20.8,0.64,293.9,584.5,87,385.8
"2023-07-28 18:30:00",33.54,47.95,21.01,0.707,260.4,557.6,80.2,342.9
"2023-07-28 18:40:00",33.15,48.97,21.01,0.422,218.7,497.6,73.4,58.42
"2023-07-28 18:50:00",32.94,49.84,21.11,0.446,190.2,472.9,66.8,53.92
"2023-07-28 19:00:00",32.6,50.91,21.14,0.416,58.1,0,58.1,49.42
"2023-07-28 19:10:00",32.38,51.7,21.19,0.226,50.8,0,50.8,45
"2023-07-28 19:20:00",32.38,52.42,21.41,0.351,39.7,0,39.7,36.33
"2023-07-28 19:30:00",32.28,53.6,21.69,0.367,22.2,0,22.2,19.83
"2023-07-28 19:40:00",32.05,53.63,21.48,0.373,18.7,0,18.7,18
"2023-07-28 19:50:00",31.83,54.43,21.52,0.328,13.9,0,13.9,14
"2023-07-28 20:00:00",31.64,54.72,21.43,0.45,13,0,13,14.67
"2023-07-28 20:10:00",31.49,56.48,21.81,0.201,7.3,0,7.3,7.583
